도명,지점명,지점코드,위도,경도,고도,관측시작일
충청남도,당진시 당진읍,343808A001,36.91377,126.64968,11.0,2010-11-10
충청남도,보령시 주교면,355831A001,36.39115,126.56601,49.0,2011-04-27
충청남도,부여군 규암면,323814A001,36.25915,126.84262,24.0,2010-09-06
충청남도,아산시 염치읍,336812A001,36.82573,126.96796,10.0,2012-08-16
충청남도,예산군 신암면,340861A001,36.74209,126.81445,29.0,2010-09-02
충청남도,천안시 목천읍,330846A001,36.77527,127.20721,112.0,2013-11-19
충청남도,천안시 성환읍,031004A002,36.95993,127.13006,9.9,2016-11-28
충청남도,청양군 청양읍,345802A001,36.42545,126.7957,192.0,2011-01-19
충청남도,태안군 태안읍,357903A001,36.73285,126.30477,31.0,2010-11-18
충청남도,홍성군 홍성읍,350808A001,36.60263,126.57921,78.0,2011-01-11
